SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,charges_ratio,service_count,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_48+,customerID
0,49,84.5,3906.7,0,0.02162950828064607,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3714-NTNFO
0,2,49.25,97.0,0,0.5077319587628866,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5948-UJZLF
0,2,80.65,144.15,1,0.5594866458550122,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,7760-OYPDY
0,52,79.75,4217.8,0,0.01890796149651477,7,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,7639-LIAYI
0,69,64.15,4254.1,0,0.01507957029689006,6,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2954-PIBKO
1,43,90.25,3838.75,0,0.023510257245197005,5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,8012-SOUDQ
0,15,99.1,1426.4,1,0.06947560291643297,6,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,9420-LOJKX
1,25,69.5,1752.65,0,0.03965423786837075,6,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,6575-SUVOI
1,8,80.65,633.3,1,0.12734880783199118,4,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7495-OOKFY
1,60,74.85,4456.35,0,0.016796257026490288,7,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,4667-QONEA
1,18,95.45,1752.55,1,0.054463496048614876,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1658-BYGOY
0,63,99.65,6311.2,0,0.015789390290277604,6,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,8769-KKTPH
1,66,108.45,7076.35,0,0.015325697570074967,8,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,5067-XJQFU
0,34,24.95,894.3,0,0.02789891535278989,2,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,3957-SQXML
0,72,107.5,7853.7,0,0.013687815933891033,7,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,5954-BDFSG
0,47,100.5,4707.1,0,0.021350725499776933,6,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0434-CSFON
0,60,89.9,5450.7,0,0.016493294439246336,5,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1215-FIGMP
0,72,42.1,2962.0,0,0.014213369345037138,4,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0526-SXDJP
0,18,54.4,957.1,0,0.05683836589698046,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0557-ASKVU
0,9,94.4,857.25,1,0.11011956838728493,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5698-BQJOH
0,3,75.3,244.1,0,0.308480131093814,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,5122-CYFXA
0,47,78.9,3650.35,0,0.02161436574575041,4,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,8627-ZYGSZ
0,31,79.2,2497.2,0,0.03171552138395003,7,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,3410-YOQBQ
0,50,20.15,930.9,0,0.021645719196476527,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3170-NMYVV
0,10,79.85,887.35,0,0.08998704006310924,4,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7410-OIEDU
0,1,49.05,49.05,0,1.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2273-QCKXA
0,52,20.4,1090.65,0,0.018704442305047447,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0731-EBJQB
1,64,111.6,7099.0,0,0.01572052401746725,8,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1891-QRQSA
0,62,24.25,1424.6,0,0.017022322055313774,2,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,8028-PNXHQ
0,3,64.5,177.4,0,0.36358511837655016,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5630-AHZIL
1,56,110.5,6139.5,0,0.017998208323153353,8,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2673-CXQEU
0,46,55.65,2688.85,0,0.02069658032244268,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,6416-JNVRK
0,8,54.65,482.25,0,0.1133229652669777,4,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5590-ZSKRV
1,30,74.75,2111.3,0,0.03540472694548382,6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0191-ZHSKZ
0,45,25.9,1216.6,0,0.021288837744533946,2,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,3887-PBQAO
0,1,79.35,79.35,1,1.0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5919-TMRGD
0,11,50.55,565.35,0,0.08941363756964711,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,8108-UXRQN
0,7,75.15,496.9,1,0.1512376735761723,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9191-MYQKX
0,42,103.8,4327.5,0,0.023986135181975735,7,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,9919-YLNNG
0,49,20.15,973.35,0,0.020701700313350797,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0318-ZOPWS
0,9,99.3,918.75,0,0.10808163265306123,6,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,4445-ZJNMU
0,35,62.15,2215.45,0,0.02805299149157056,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4808-YNLEU
0,48,20.65,1057.0,0,0.0195364238410596,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1862-QRWPE
0,46,19.95,927.1,0,0.02151871427030525,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,2796-NNUFI
0,29,33.75,1009.25,0,0.03344067376764925,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3016-KSVCP
0,30,82.05,2570.2,0,0.03192358571317407,4,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4767-HZZHQ
1,1,74.7,74.7,0,1.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2424-WVHPL
0,66,84.0,5714.25,0,0.014700091875574223,8,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,7233-PAHHL
0,65,111.05,7107.0,0,0.0156254397073308,8,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,6067-NGCEU
0,72,100.9,7459.05,0,0.013527191800564416,7,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,9848-JQJTX
0,12,78.95,927.35,1,0.08513506227422225,4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8637-XJIVR
0,71,66.85,4748.7,0,0.014077537010129088,6,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,9803-FTJCG
0,5,21.05,113.85,1,0.18489240228370665,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0278-YXOOG
0,52,21.0,1107.2,0,0.018966763005780346,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3212-KXOCR
1,25,98.5,2514.5,1,0.03917279777291708,6,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,4598-XLKNJ
0,1,20.2,20.2,0,1.0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6380-ARCEH
0,1,19.45,19.45,0,1.0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3679-XASPY
0,38,95.0,3605.6,0,0.02634790326159308,6,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,7123-WQUHX
1,66,45.55,3027.25,0,0.015046659509455777,4,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5386-THSLQ
0,68,110.0,7611.85,1,0.014451151822487305,8,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,3192-NQECA
0,5,24.3,100.2,0,0.24251497005988024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6180-YBIQI
0,72,104.15,7303.05,0,0.014261164855779435,7,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,6728-DKUCO
0,32,30.15,927.65,0,0.03250148224006899,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9750-BOOHV
0,43,94.35,3921.3,0,0.024060898171524746,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,8597-CWYHH
0,72,19.4,1363.25,0,0.014230698697964422,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2848-YXSMW
0,55,96.75,5238.9,1,0.018467617247895553,6,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0486-HECZI
0,52,57.95,3042.25,0,0.019048401676390832,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4549-ZDQYY
0,43,91.65,3954.1,0,0.023178472977415848,5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,5712-AHQNN
1,37,76.5,2868.15,1,0.026672245175461535,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4846-WHAFZ
0,64,54.6,3423.5,0,0.015948590623630788,5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,5256-SKJGO
0,3,89.85,248.4,0,0.3617149758454106,5,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3071-VBYPO
0,36,31.05,1126.35,0,0.027566919696364364,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9560-BBZXK
0,10,100.25,1064.65,1,0.09416240078899168,6,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,5299-RULOA
0,41,20.65,835.15,0,0.024726097108303896,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,8402-OOOHJ
0,27,85.2,2151.6,0,0.03959843837144451,5,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,9445-ZUEQE
0,56,99.8,5515.45,0,0.018094625098586697,6,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1091-SOZGA
0,6,20.7,112.75,0,0.1835920177383592,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2928-HLDBA
0,3,74.4,229.55,1,0.3241123938139839,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0404-SWRVG
0,7,50.7,350.35,0,0.14471243042671614,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6497-TILVL
0,4,20.85,62.9,0,0.33147853736089034,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7219-TLZHO
0,33,88.95,3027.65,0,0.02937922150843063,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,4622-YNKIJ
1,27,78.05,2135.5,1,0.03654881760711777,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4412-YLTKF
0,72,23.55,1723.95,0,0.01366048899330027,2,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,6734-PSBAW
0,1,19.75,19.75,0,1.0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3930-ZGWVE
1,71,56.45,3985.35,0,0.014164377030875582,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,2639-UGMAZ
0,13,85.95,1215.65,0,0.0707029161354008,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2876-GZYZC
0,25,58.6,1502.65,1,0.038997770605264034,6,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,6207-WIOLX
0,67,50.55,3260.1,0,0.015505659335603201,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8587-XYZSF
0,1,35.45,35.45,1,1.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3091-FYHKI
0,2,44.35,81.25,1,0.5458461538461539,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2372-HWUHI
0,43,25.7,1188.2,0,0.02162935532738596,2,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,7799-LGRDP
0,23,75.0,1778.5,0,0.04217036828788305,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7850-VWJUU
0,64,20.2,1277.75,0,0.01580903932694189,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,3774-VBNXY
0,57,19.6,1170.55,0,0.01674426551621033,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,6217-KDYWC
1,1,70.45,70.45,1,1.0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0390-DCFDQ
1,72,88.05,6425.65,0,0.013702893870659,9,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,3146-MSEGF
0,8,71.15,563.65,1,0.12623081699636302,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4080-OGPJL
0,61,101.05,5971.25,0,0.01692275486707138,6,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1095-WGNGG
